,City,State,Shape,Duration,Summary,Posted,Date,Time,region_cat,time_cat
2664,Grayson,LA,Circle,35,First two were solid black with no lights the last one orangish gold.,8/30/2013,2013-08-01,22:15:00,south,evening
2665,Bethany Beach,DE,Circle,300,"Bethany beach de, boardwalk, 3 red-orange, flickering balls located over ocean, NE direction",8/30/2013,2013-08-01,21:20:00,south,evening
2666,Wells,VT,Circle,2700,Circular object with rotating changing colored lights hovering in the night sky.,8/30/2013,2013-08-01,0:15:00,northeast,night
2667,Elk Grove,CA,Circle,5,Bright star like circular object shoots across the sky at amazing speed,8/30/2013,2013-07-31,22:34:00,west,evening
2668,Dublin,OH,Circle,10,A single orange circle floating in the sky for a matter off seconds and disappeared. The object was traveling north and seemed to sto,8/30/2013,2013-07-30,22:45:00,midwest,evening
2669,St. Paul,MN,Circle,300,"Six uniform white lights in St Paul, Minnesota. Near the Saints stadium.",8/30/2013,2013-07-30,20:40:00,midwest,evening
2670,Oshkosh,WI,Circle,30,Flying disk over Oshkosh Airport during EAA fly-in.,8/30/2013,2013-07-30,12:00:00,midwest,afternoon
2671,Vancouver,WA,Circle,10,Bright green donut shape disk in sky,8/30/2013,2013-07-29,21:40:00,west,evening
2672,Wildwood Crest,NJ,Circle,300,Orange glowing device flying high over ocean,8/30/2013,2013-07-29,1:15:00,northeast,night
2673,Wildwood,NJ,Circle,900,Four orange orbs of light above the Atlantic Ocean.,8/30/2013,2013-07-29,0:30:00,northeast,night
2674,Orrington,ME,Circle,600,20 plus amber colored objects in formation over Orrington,8/30/2013,2013-07-28,22:20:00,northeast,evening
2675,Pittsburgh,PA,Circle,15,Large red/orange balloon that appeared to be an APPARITION.,8/30/2013,2013-07-28,19:30:00,northeast,evening
2676,Florence,KY,Circle,60,"Circular, rustic looking craft over Florence, Kentucky.",8/30/2013,2013-07-27,23:30:00,south,evening
2677,Morrisville,PA,Circle,300,Circular disk shaped with lights,8/30/2013,2013-07-27,22:00:00,northeast,evening
2678,Seven Hills,OH,Circle,240,"07/27/13 at 21:55 in Seven Hills, Ohio observed were 8 round orange-red balls traveling south to north, duration 4 minutes.",8/30/2013,2013-07-27,21:55:00,midwest,evening
2679,Middle Village,NY,Circle,3600,Circular Craft with Brite White Light changing to a Red Light maneuevering impressively.,8/30/2013,2013-07-27,21:30:00,northeast,evening
2680,Destin,FL,Circle,180,"Solid slow moving light, my first UFO.",8/30/2013,2013-07-27,11:30:00,south,morning
2681,Portland,OR,Circle,2100,I walked outside to my patio and looked to the east I saw a falling star and then a very bright blinking light surrounded by a haze. Co,8/30/2013,2013-07-27,1:30:00,west,night
2682,Springfield,IL,Circle,1200,Balls of lights going higher in the sky then coming back down. there were 4 to 9 of these strange shapes. Witnessed by 2 adults. They w,8/30/2013,2013-07-26,22:29:00,midwest,evening
2683,Clear Spring,MD,Circle,10,"Hugh bright light, Very fast..",8/30/2013,2013-07-26,22:00:00,south,evening
2684,Greensboro,NC,Circle,1800,Glowing red/orange orb above tree tops,8/30/2013,2013-07-26,22:00:00,south,evening
2685,South Kortright,NY,Circle,1800,"Object with Red, Blue, and Green Lights Hovers and moves over Catskill Mountains for 30+ minutes",8/30/2013,2013-07-26,0:00:00,northeast,night
2686,Syracuse,NY,Circle,2400,"Very bright round object, witnesses descending and hovering in sky over the city.",8/30/2013,2013-07-25,21:15:00,northeast,evening
2688,Garden City,SC,Circle,300,Orange/red orbs over ocean.,8/30/2013,2013-07-24,23:30:00,south,evening
2689,Castiac,CA,Circle,2700,Went outside to have a cig in the night of wednesday july 24th at about 10pm looked up to see two crafts doing complex aerial movements,8/30/2013,2013-07-24,22:00:00,west,evening
2690,Lancaster,CA,Circle,5,White glowing circular light flies across sky for only a moment then disappeared.,8/30/2013,2013-07-22,1:30:00,west,night
2691,Seattle,WA,Circle,240,I witnessed a large glowing transparent ovoid shape with very bright orange light inside.,7/22/2013,2013-07-20,22:02:00,west,evening
2692,Temecula,CA,Circle,5,I was walking in my backyard and I looked for the moon. I saw a circle type object with a beam going straight ahead if it.,7/22/2013,2013-07-18,22:19:00,west,evening
2693,Myrtle Beach,SC,Circle,600,Circular red lights above Myrtle Beach.,7/22/2013,2013-07-18,22:00:00,south,evening
2694,Anderson,SC,Circle,600,Orange circle with beam of light floating in sky,8/30/2013,2013-07-18,22:00:00,south,evening
2695,Myrtle Beach,SC,Circle,180,The orange orbs over the ocean.,7/22/2013,2013-07-18,22:00:00,south,evening
2696,Myrtle Beach,SC,Circle,600,"Round orange lights over the Atlantic Ocean, Myrtle Beach, SC.",7/22/2013,2013-07-17,22:47:00,south,evening
2697,South Gate,CA,Circle,60,"Yellow orange hue sphere seen over Los Angeles city ,pass midnight.",7/22/2013,2013-07-17,1:30:00,west,night
2698,Booneville,AR,Circle,60,We saw a quick whitish/orange orb in the sky.,7/22/2013,2013-07-16,22:00:00,south,evening
2699,Lena,IL,Circle,120,Orange Spere Moving Very Slowly Then Disapeared.,7/22/2013,2013-07-16,22:00:00,midwest,evening
2700,Austintown,OH,Circle,45,12 red light over austintown ohio,7/22/2013,2013-07-16,21:30:00,midwest,evening
2701,Custer,WI,Circle,10,Back-tracking satellite.,7/22/2013,2013-07-15,22:00:00,midwest,evening
2702,Loganville,GA,Circle,120,Orange orb.,7/22/2013,2013-07-15,21:15:00,south,evening
2703,Kenosha,WI,Circle,30,Glowing large circler object.,7/22/2013,2013-07-15,20:40:00,midwest,evening
2704,Salem,OR,Circle,900,Bright white or reflecting silver ball hovering...others flying by?,7/22/2013,2013-07-15,17:15:00,west,afternoon
2705,Downingtown,PA,Circle,120,"Me, My sister and Brother were all hanging out on the deck and we saw this bright ball of light moving extremely fast across the sky an",7/22/2013,2013-07-14,22:05:00,northeast,evening
2706,Oakland,TN,Circle,180,"Orange / Red Orb in Oakland, TN traveling at constant speed and altitude on 07/14/13 appx. 21:00.",7/22/2013,2013-07-14,21:00:00,south,evening
2707,Oakland,TN,Circle,180,"Brilliantly colored Orange/Red Circle travelling E to W in Oakland, TN on July 14, 2013.",7/22/2013,2013-07-14,21:00:00,south,evening
2708,New Lenox,IL,Circle,600,7 red lights in sky.,7/14/2013,2013-07-13,22:45:00,midwest,evening
2709,Oak Forest,IL,Circle,30,"On july 13,2013 approximately 9:45pm i observed 5 orbs that were a grayish white solid color. Thought they could of been birds. But whe",8/30/2013,2013-07-13,21:45:00,midwest,evening
2710,Sealy Lake,MT,Circle,30,WE WERE ON THE LAKE AND I WAS WATCHING THE SUNSET WHEN A BIG BRIGHT LIGHT APPEARED IN THE WEST. WE WATCHED IT FOR ABOUT 30 SECONDS AND,8/30/2013,2013-07-13,21:00:00,west,evening
2711,League City,TX,Circle,180,"Two identical UFO's spotted, one appeared to lose power and altitude.",7/22/2013,2013-07-13,21:00:00,south,evening
2712,Elk Grove,CA,Circle,60,Bright star like object moves fast before stopping and immiting bright white light,7/14/2013,2013-07-12,22:10:00,west,evening
2713,Duxbury,VT,Circle,900,Orange Light Circles in Sky over Central Vermont.,3/18/2014,2013-07-12,22:00:00,northeast,evening
2714,Louisville,KY,Circle,30,A circular bright white light flickering with a red light in the center in the northwest sky.,7/22/2013,2013-07-12,21:45:00,south,evening
2715,Gulf Shores,AL,Circle,300,Silent Red/Orange ball of light traversing west to east over Gulf of Mexico.,7/14/2013,2013-07-12,21:08:00,south,evening
2716,Jacksonville,AL,Circle,180,Circle Appears from cloud cover and moves west. Photos available,8/30/2013,2013-07-12,20:00:00,south,evening
2718,Fairport,NY,Circle,60,A circle craft being followed by two military jets which were close together and NO SOUND from the 3 of them.,7/14/2013,2013-07-12,11:30:00,northeast,morning
2719,Rathdrum,ID,Circle,5,Large dim orange circular object travels across sky at enormous rate.,7/22/2013,2013-07-11,23:40:00,west,evening
2720,Douglas,MA,Circle,480,Glowing lights over Worcester seen from Douglas,7/14/2013,2013-07-11,21:15:00,northeast,evening
2721,The Village,OK,Circle,10,9 amber red circles.,7/14/2013,2013-07-11,3:00:00,south,night
2722,Elk Grove,CA,Circle,1200,6 bright star like objects moving fast in the night sky,7/14/2013,2013-07-10,21:45:00,west,evening
2723,Cadiz,KY,Circle,40,Orange lights one object.,7/14/2013,2013-07-10,20:30:00,south,evening
2724,Toms River,NJ,Circle,30,Orb of light made right angle turn. Great speed upward.,7/14/2013,2013-07-09,2:00:00,northeast,night
2725,Sacramento,CA,Circle,2,"A large, circular, bright, white light appeared in the night sky traveling at a high rate of speed and disappeared in thin air.",7/14/2013,2013-07-08,23:00:00,west,evening
2726,Ocean City,MD,Circle,2,Total of three balls of white light flying north to south.,7/14/2013,2013-07-08,22:15:00,south,evening
2727,St. Louis Park,MN,Circle,600,Luminous ball-shaped objects.,7/14/2013,2013-07-08,22:00:00,midwest,evening
2728,Springboro,OH,Circle,240,"No blinking lights, went from dim to bright to unlit",7/22/2013,2013-07-08,22:00:00,midwest,evening
2729,Englewood,FL,Circle,120,Round bright orange solid ligh & no sound.,7/14/2013,2013-07-07,23:00:00,south,evening
2730,Chicago Heights,IL,Circle,180,There was an Orange Glow in the sky.,7/14/2013,2013-07-07,22:15:00,midwest,evening
2731,Cudahy,WI,Circle,900,I have lived here for 55 years and never saw what I believe were UFOs.,7/14/2013,2013-07-07,22:00:00,midwest,evening
2732,Springfield,OR,Circle,120,"red orb sighted over springfield, oregon",7/14/2013,2013-07-07,22:00:00,west,evening
2733,Paducah,KY,Circle,120,"3 glowing red orbs floating slowly east over paducah, lights began to fade and then dissapear.",7/14/2013,2013-07-07,21:00:00,south,evening
2734,Lindenhurst,NY,Circle,120,"Yellow/orange orb shoots across sky in Lindenhurst, NY at approximately 9:00pm edt.",7/14/2013,2013-07-07,20:59:00,northeast,evening
2735,Canton,MI,Circle,120,White circular shaped object appearing to intercept jet passenger plane,4/11/2014,2013-07-07,19:00:00,midwest,evening
2736,Aynor,SC,Circle,10,There were two lights traveling at an extreme speed and the lights were connected.,7/14/2013,2013-07-07,10:00:00,south,morning
2737,Frederick,MD,Circle,120,Floating orb,7/14/2013,2013-07-06,23:37:00,south,evening
2738,Mountain Home,AR,Circle,60,Three bright glowing orange objects passed from South to North over Arkansas disappearing over Missouri on the night of July 6.,7/14/2013,2013-07-06,23:00:00,south,evening
2739,Bellevue,OH,Circle,180,Six unidentified flying objects that where circular and orange in color.,7/14/2013,2013-07-06,22:48:00,midwest,evening
2740,Franklin,NH,Circle,600,Six red lights in sky while night fishing.,7/14/2013,2013-07-06,22:15:00,northeast,evening
2741,West Chester,PA,Circle,300,I witnessed 4 red objects over downtown west Chester. They were very close to one another after 5 minutes they vanished,7/14/2013,2013-07-06,22:00:00,northeast,evening
2742,New Milford,CT,Circle,420,"Formation over New Milford, CT.",7/14/2013,2013-07-06,22:00:00,northeast,evening
2743,Bowling Green,KY,Circle,300,Spotted silent craft w/ pulsing circular lights (predominantly red with some yellow and orange tones) heading west at a low altitude.,7/14/2013,2013-07-06,21:45:00,south,evening
2744,Springfield,MA,Circle,1200,"At least 40 orange-red lights moving westerly to the north,floating in a linear fashion, then disappearing.",7/14/2013,2013-07-06,21:40:00,northeast,evening
2745,Columbus,OH,Circle,300,"4 Red lights viewed from Binns Blvd and Briggs Rd to the south east in Columbus, OH.",7/14/2013,2013-07-06,21:40:00,midwest,evening
2746,Groveport,OH,Circle,300,"4 cicle well lite objects in the sky seen by 1000's in the Groveport, Ohio Area.",7/14/2013,2013-07-06,21:40:00,midwest,evening
2747,Walnut Ridge,AR,Circle,300,Orange like ball of light came across western sky slow then dissapeared in to the sky,7/14/2013,2013-07-06,21:30:00,south,evening
2748,Hoover,AL,Circle,720,My father and I saw two flying red objects darting across the night sky last night. There were other neighbors who witnessed this as w,7/14/2013,2013-07-06,21:10:00,south,evening
2749,Springboro,OH,Circle,30,SEEN A RED FIREBALL CIRCULAR SHAPE. AT FIRST I THOUGHT I WAS AN AIRCRAFT ON FIRE. IT WAS TRAVELING WEST AND THEN CHANGED TO A NORTHERN,7/14/2013,2013-07-05,23:25:00,midwest,evening
2750,Middlebury,IN,Circle,300,I saw a large glowing light in the south sky. It looked similar to red burning chacoals and kind of flickered. I saw one in the same ar,7/14/2013,2013-07-05,23:00:00,midwest,evening
2751,Virginia Beach,VA,Circle,300,"Dark circle with orange light above no sound, no flashing, slowly crossing sky.",7/14/2013,2013-07-05,22:55:00,south,evening
2752,Franklin Square,NY,Circle,60,Bright red circular object over Franklin Square Long Island,7/14/2013,2013-07-05,22:40:00,northeast,evening
2753,Simi Valley,CA,Circle,1200,"Blue, green light emittting object seen moving erratically over Simi Valley, Ca.",7/14/2013,2013-07-05,22:30:00,west,evening
2754,Sun Prairie,WI,Circle,900,Orange Glowing Objects Appear in Night Sky - Madison WI 070513,7/14/2013,2013-07-05,22:25:00,midwest,evening
2755,South Milwaukee,WI,Circle,10,Orange spherical light traveling from south to north.,7/14/2013,2013-07-05,22:00:00,midwest,evening
2756,Watertown,CT,Circle,600,4 Glowing Orange Balls of Lights moving in formation then breaking formation and moving off very fast!,7/14/2013,2013-07-05,22:00:00,northeast,evening
2757,Bettendorf,IA,Circle,120,"Driving on 53rd st, Bettendorf Iowa headed east saw 2 orange lights in the sky. One was hovering lower than the other, diagonally. Me &",7/14/2013,2013-07-05,21:50:00,midwest,evening
2758,Salisbury,MA,Circle,80,Spherical steady moving object seen over Salisbury Beach,7/14/2013,2013-07-05,1:32:00,northeast,night
2759,Broomfiled- Standley Lake,CO,Circle,300,Lights over Standley Lake during fireworks.,7/14/2013,2013-07-04,23:00:00,west,evening
2760,Glendive,MT,Circle,60,4 SUPER FAST ORANGE POLS SATING LIGHTS OVER GLENDIVE MT,8/30/2013,2013-07-04,23:00:00,west,evening
2761,Old Orchard Beach,ME,Circle,600,Red fly objects over OOB Maine,7/5/2013,2013-07-04,22:30:00,northeast,evening
2762,Mount Sinai,NY,Circle,120,A large orange colored round object traveling west to east at a high rate of speed.,7/14/2013,2013-07-04,22:30:00,northeast,evening
2763,Massapequa,NY,Circle,30,Circular orb in the sky covers great distance in short 30 seconds without breaking sound barrier on 7/4/13.,8/30/2013,2013-07-04,22:30:00,northeast,evening
2764,Hammond,IN,Circle,600,"I noticed 2 shaped orange lights fly from the south headed north. It didn't have any aircraft markers on them ,then they disappeared af",7/5/2013,2013-07-04,22:25:00,midwest,evening
2765,Auburn,WA,Circle,60,My daughter and I were outside on the back deck. I was bbqing. My daughter was watching the fireworks from the deck. As I looked up at,7/5/2013,2013-07-04,22:07:00,west,evening
2766,Floyd Knobs,IN,Circle,180,Light in sky north of Louisville,7/5/2013,2013-07-04,22:00:00,midwest,evening
2767,Boise,ID,Circle,60,At roughly 22:00 in boise idaho on july 4th 2013 a red ball floating across the sky at a steady speed.,7/5/2013,2013-07-04,22:00:00,west,evening
2768,North Platte,NE,Circle,3600,20+ reddish gold orbs floating from the south of community to the north.,7/5/2013,2013-07-04,22:00:00,midwest,evening
2769,Troy,OH,Circle,120,Not fireworks.,7/14/2013,2013-07-04,22:00:00,midwest,evening
2770,Crestline,OH,Circle,420,Large orange craft with flickering fiery orange tail over fire works field. UFO Under intelligent control.,7/5/2013,2013-07-04,21:45:00,midwest,evening
2771,Murray,KY,Circle,600,I was looking south watching fireworks and noticed a bright orange circle hovering just above the treetops. It began to move north .i c,7/5/2013,2013-07-04,21:40:00,south,evening
2772,Aurora,CO,Circle,180,"4th of July 2013 at 9:40pm Aurora, Co. 3 orange circles during firework seen by 4 people duration about 5 minutes",7/5/2013,2013-07-04,21:40:00,west,evening
2773,Moore,OK,Circle,120,"Circular object with singular, non blinking, reddish-orange light at front end.",7/14/2013,2013-07-04,21:30:00,south,evening
2774,Long Lake,NY,Circle,600,"25 silent, circular, orange/yellow glowing objects moving slowly from westerly southwesterly to easterly northeasterly.",7/14/2013,2013-07-04,21:30:00,northeast,evening
2775,Lincoln,NE,Circle,1800,Small orange glowing circular objects floating during the fireworks show.,7/14/2013,2013-07-04,21:30:00,midwest,evening
2776,Heyworth,IL,Circle,600,Three orange glowing spheres moving quickly accross the sky.,7/14/2013,2013-07-04,21:30:00,midwest,evening
2777,Pinellas Park,FL,Circle,240,"Two redish orange lights make 45 degree turn and speed into the clouds in Pinellas Park,Fl.",7/5/2013,2013-07-04,21:20:00,south,evening
2778,New Berlin,WI,Circle,60,Circle orange light traveling at an high altitude from south to north.,7/14/2013,2013-07-04,21:20:00,midwest,evening
2779,North Platte,NE,Circle,7200,"25 to 30 Large Bright Orange Round moving objects with no sound, going north.",7/5/2013,2013-07-04,21:15:00,midwest,evening
2780,Mesa,AZ,Circle,1800,"Reddish orange orbs moving east to west, caught on video",7/5/2013,2013-07-04,21:15:00,west,evening
2781,Aiken,SC,Circle,60,Orb with orange glow,7/5/2013,2013-07-04,21:00:00,south,evening
2782,Port St. Lucie,FL,Circle,1200,Circular Red/Gold Lights flying overhead,7/5/2013,2013-07-04,21:00:00,south,evening
2783,Seminole,TX,Circle,120,"Low flying, slow clump of green lights.",1/10/2014,2013-07-04,21:00:00,south,evening
2784,Bremerton,WA,Circle,60,1 red orange round object observed on 4 July 2013 from Bremerton Washington approx. 17:00l,7/14/2013,2013-07-04,17:00:00,west,afternoon
2785,Cedar Hill,TX,Circle,600,Object flying in night sky seen by three people that were camping,8/30/2013,2013-07-04,4:30:00,south,night
2786,Fayettville,PA,Circle,300,Bright Red/orange ball of flickering lights.,7/14/2013,2013-07-03,23:40:00,northeast,evening
2787,North Platte,NE,Circle,300,A large bright orange glowing ball floating silently above the trees.,7/5/2013,2013-07-03,22:15:00,midwest,evening
2788,Crestline,OH,Circle,420,"Brilliant orange orb like object with flickering fiery tail fluctuating orange light, nearly rocket like exhaust.",7/5/2013,2013-07-03,21:45:00,midwest,evening
2789,Mt. Vernon,OH,Circle,1800,They were large round lights. Much larger than those of airplanes or helocopters.,7/5/2013,2013-07-03,21:30:00,midwest,evening
2790,North East,MD,Circle,1200,Orange/yellow object in the sky,7/5/2013,2013-07-03,21:30:00,south,evening
2791,Black Hawk,SD,Circle,1200,Two glowing orange balls following one another across the sky,7/14/2013,2013-07-03,21:00:00,midwest,evening
2792,Austin,TX,Circle,72000,I spotted multiple amber colored orbs appearing & disappearing in the sky just above the horizon. There were several of these orbs that,7/3/2013,2013-07-02,22:00:00,south,evening
2793,Moscow,ID,Circle,180,"3 floating figures in sky shaped and looked like a fire ball, but disappeared.",7/3/2013,2013-07-01,22:33:00,west,evening
2794,North Wildwood,NJ,Circle,120,Red glowing orb sailing from north to south.,7/3/2013,2013-07-01,21:20:00,northeast,evening
2795,Meriden,CT,Circle,120,There were several UFO passing by the wendys Restaurant in which I was eating over 12 different ones one after another one.,7/5/2013,2013-07-01,21:20:00,northeast,evening
2796,Heflin,AL,Circle,30,"UFO Sighting - Summer of 2013 – Heflin, Alabama",11/4/2016,2013-07-01,20:00:00,south,evening
2797,Detroit,MI,Circle,45,Orange glowing light.,3/18/2014,2013-06-30,23:00:00,midwest,evening
2798,((Unknown)),NJ,Circle,60,"Grey circle (it was hard to notice, looked like metal that was reflecting sunlight) came up to the airplane.",8/11/2017,2013-06-30,14:00:00,northeast,afternoon
2799,St. George Island,FL,Circle,60,My girlfriend and I went to go take a walk on the beach at night and when we got to the beach we saw a perfect neon green circle.,7/3/2013,2013-06-29,22:00:00,south,evening
2800,Baldwinsville,NY,Circle,180,Three orange orb-like structures were seen for around 3 minutes.,7/3/2013,2013-06-29,21:40:00,northeast,evening
2801,Noblesville,IN,Circle,1800,15 orange floating cirlces above noblesville 6/29/13.,7/3/2013,2013-06-29,0:00:00,midwest,night
2802,Littleton,CO,Circle,2700,5 circular rotating lights in clouds over Littleton Colorado during storms,7/3/2013,2013-06-28,22:30:00,west,evening
2803,Parkersburg,WV,Circle,30,Large bright white light traveling quicky in the Northwest sky.,7/3/2013,2013-06-28,1:30:00,south,night
2804,Clearwater,FL,Circle,1800,Throbbing multicolored light witnessed over Clearwater Beach.,7/3/2013,2013-06-27,20:30:00,south,evening
2806,Bellport,NY,Circle,60,Round glowing orange ball craft hovering at a slow speed.,7/3/2013,2013-06-25,22:00:00,northeast,evening
2807,Lakeland,TN,Circle,30,Ball of light or fire over East Shelby County,7/3/2013,2013-06-25,20:52:00,south,evening
2808,Kannapolis,NC,Circle,60,The black dot stayed on a steady course.,7/3/2013,2013-06-25,16:20:00,south,afternoon
2809,Independence,VA,Circle,60,"Blue colored disc shaped object moving quickly from west to east. See from New River in Grayson County, Virginia",7/3/2013,2013-06-24,21:00:00,south,evening
2810,Los Angeles,CA,Circle,600,Fireball looking circle in the sky.,7/3/2013,2013-06-23,21:00:00,west,evening
2811,Santee,CA,Circle,10,Bright green light over Santee Ca.,7/3/2013,2013-06-23,0:05:00,west,night
2813,Bellevue,OH,Circle,30,"4 witnesses, Bright flash followed by 2 circular amber colored objects traveling VERY fast across the sky in same flight path",7/3/2013,2013-06-22,22:38:00,midwest,evening
2814,Richmond,IN,Circle,20,Multiple red round objects grouped in a v shaped form appeared moving across the sky then dissapeared into nowhere,7/3/2013,2013-06-22,22:30:00,midwest,evening
2815,San Bernardino,CA,Circle,20,Circle shape crossing the moon.,7/3/2013,2013-06-22,22:20:00,west,evening
2816,Rowayton,CT,Circle,900,"20 orange shining round objects moving silently across the night sky, mostly one following another, a few in a small group.",7/3/2013,2013-06-22,22:15:00,northeast,evening
2817,Versailles,KY,Circle,60,Picture of round shape in Kentucky sky,7/3/2013,2013-06-22,22:00:00,south,evening
2818,North Haven,CT,Circle,600,About 8 round amber colored lights ascending from a very low altitude to what appeared to be a few thousand feet. They were over route,7/3/2013,2013-06-22,22:00:00,northeast,evening
2820,Stead,NV,Circle,10,Unreal,7/3/2013,2013-06-22,17:00:00,west,afternoon
2821,Portland,OR,Circle,180,2 orange circles flying at a slow pase then disappeared.,7/3/2013,2013-06-21,23:50:00,west,evening
2822,Barrington,IL,Circle,2700,Three bright objects verticle stance. Top two fire orange with moving outer shell . One pretended to be part of satellite tower.,7/3/2013,2013-06-21,23:15:00,midwest,evening
2823,Creekside,PA,Circle,600,13 red balls of light across night sky,7/3/2013,2013-06-21,22:30:00,northeast,evening
2824,Berlin,NH,Circle,60,1 Large gold light below left of moon fades out 4 more large gold lights appear same area loud engine noise.,7/3/2013,2013-06-20,21:00:00,northeast,evening
2825,Lincoln,NE,Circle,300,"Bright light over SE Lincoln, 19Jun13 dimmed and flew away.",7/3/2013,2013-06-19,22:45:00,midwest,evening
2826,Long Beach,CA,Circle,20,"White round object seen in Long Beach, California.",7/3/2013,2013-06-19,22:15:00,west,evening
2827,Natrona Heights,PA,Circle,120,"An orange object sighted in the sky, orange flames shooting out of the bottom , without sound, vanishing 1-2 minutes.",7/3/2013,2013-06-19,21:30:00,northeast,evening
2828,Lake Villa,IL,Circle,300,Orange/red silent object with very bright flashes of light.,7/3/2013,2013-06-18,23:00:00,midwest,evening
2829,Tucson,AZ,Circle,1200,Lil yellow lights fading in and out in the sky.,7/3/2013,2013-06-18,22:15:00,west,evening
2830,Weymouth,MA,Circle,600,It was a decent length sighting i believe i was sitting my back yard when i saw a red circle fly over head at a high rate of speed abou,7/3/2013,2013-06-18,0:34:00,northeast,night
2831,Laude,MO,Circle,120,Orange like candle light- flashing,7/3/2013,2013-06-16,21:02:00,midwest,evening
2832,Bourbonnais,IL,Circle,600,"We saw 2 balls of white/yellow light in the sky, one disappeared while the other moved further away out of sight.",7/3/2013,2013-06-16,19:00:00,midwest,evening
2834,Whiting,NJ,Circle,60,I witnessed a latern-like orb of fire hovering quietly through the sky.,7/3/2013,2013-06-15,21:05:00,northeast,evening
2836,Springfield,IL,Circle,180,Red fire ball hovering and then lights going dim as it descended to above set of trees then lost it.,7/3/2013,2013-06-14,22:05:00,midwest,evening
2837,Maple Falls,WA,Circle,900,"Orb of flashing rotating colors in a grid pattern seen near Mt. Baker, Washington on the night of June 12, 2013.",8/30/2013,2013-06-12,22:15:00,west,evening
2838,Pittsburg,CA,Circle,90,"I was happening to open my bedroom window, when a glare from a silver aircraft caught my eye. This is to the south, towards Clayton/Mou",7/3/2013,2013-06-12,16:00:00,west,afternoon
2839,Fort A. P. Hill (military reservation),VA,Circle,180,Super fast silent object over military base with high mobility. ((NUFORC Note: Military report; night vision devices used. PD)),7/3/2013,2013-06-11,2:30:00,south,night
2840,Woodbury,MN,Circle,2100,"Circular silver object in the sky that moved, ""shot bright lights"" and disappeared and reappeared.",7/3/2013,2013-06-11,1:30:00,midwest,night
2841,Sacaton,AZ,Circle,432000,"Four silver, circular shaped objects over sacaton, az",7/3/2013,2013-06-10,17:00:00,west,afternoon
2842,Louisburg,NC,Circle,5,"This sighting of orbs were photographed inadvertently. I was taking a couple a photos, and realized I had photographed an orb.",1/30/2014,2013-06-10,13:00:00,south,afternoon
2843,Poughkeepsie,NY,Circle,300,Large glow of light.,7/3/2013,2013-06-09,22:35:00,northeast,evening
2844,Greeley,CO,Circle,5,I saw a blue fire ball coming down to earth from the west.,7/3/2013,2013-06-09,0:35:00,west,night
2845,Norfolk,VA,Circle,300,Video taped 20-25 bright amber colored objects slowly moving in the night sky that slowly faded as they increased in altitude.,7/3/2013,2013-06-08,22:00:00,south,evening
2846,Prior Lake,MN,Circle,420,Several round red lights in the northwest sky.,7/3/2013,2013-06-08,22:00:00,midwest,evening
2847,Mansfield,OH,Circle,1200,A circular flashing craft was seen over the south Mansfield area.,7/3/2013,2013-06-08,1:15:00,midwest,night
2848,Cypress,TX,Circle,300,My neighbor knocked on my door and asked me to come outside because he was seeing something he had not ever seen before in the sky.,7/3/2013,2013-06-05,21:00:00,south,evening
2849,Burlington,NC,Circle,600,"5 Orange lights seen over Burlington, NC",7/3/2013,2013-06-05,21:00:00,south,evening
2851,Charles Town,WV,Circle,180,Like a falling star but not. It's fastest object I've ever seen.,7/3/2013,2013-06-04,12:35:00,south,afternoon
2852,Conshohocken,PA,Circle,10,White sphere seen in Eastern sky around sun moving very fast then zoomed up into space.,7/3/2013,2013-06-04,6:40:00,northeast,morning
2853,Niles,MI,Circle,180,Large circular orange light flying across the sky.,7/5/2013,2013-06-03,23:20:00,midwest,evening
2854,Weaverville,NC,Circle,300,"Bright unexplained light captured on video traveling over Weaverville, NC.",7/3/2013,2013-06-03,23:00:00,south,evening
2855,Buford,GA,Circle,30,Watched until it went past the horizon.,7/3/2013,2013-06-03,22:27:00,south,evening
2856,St. George,UT,Circle,180,3 orange-red glowing objects travelling in a linear fashion. 2 disappear mid-air; 1 lands,7/3/2013,2013-06-03,21:46:00,west,evening
2857,Los Angeles,CA,Circle,240,"Glowing orb changing colors and zigzagging across the sky over Westwood, Los Angeles",7/3/2013,2013-06-03,20:45:00,west,evening
2858,Homestead,FL,Circle,60,"3 bright red/orange, round objects traveling from west to east and silent and moving at an unbelievable rapid speed.",7/3/2013,2013-06-02,22:40:00,south,evening
2859,Purcellville,VA,Circle,120,"Orb travels across the sky looking identically like a moving star, Object vanishes after 2 minutes.",6/2/2013,2013-06-01,21:20:00,south,evening
2861,Coos Bay,OR,Circle,180,6 lights red/green/yellow/blue floating in the sky.,6/2/2013,2013-06-01,1:35:00,west,night
2862,Los Banos (near; on Interstate 5),CA,Circle,180,"We saw three spherical-shaped, bright white lights erratically flying over a field adjacent to interstate 5 in approximately Los Banos,",7/3/2013,2013-05-31,22:20:00,west,evening
2863,Vancouver,WA,Circle,300,"Green/blue circle seen in Vancouver, Washington",6/2/2013,2013-05-31,22:15:00,west,evening
2864,Appling,GA,Circle,20,"Two objects seem to change color above Appling,GA, seen by 2 civilians.",6/2/2013,2013-05-31,21:35:00,south,evening
2865,Lebanon,PA,Circle,300,Bright low orange lights traveling from south to north,6/2/2013,2013-05-31,21:30:00,northeast,evening
